"","subj","cloze","item","n400","cloze_ans","N"
"1",1,0,1,7.08,0,44
"2",1,0.03,2,-0.68,1,44
"3",1,1,3,1.39,44,44
"4",1,0.93,4,22.78,41,44
"5",1,0,5,1.61,0,44
"6",1,0,6,3.01,0,44
"7",1,0.8,7,9.96,35,44
"8",1,0.03,9,-1.85,1,44
"9",1,0.03,10,8.73,1,44
"10",1,0.87,11,10.89,38,44
"11",1,1,12,-7.39,44,44
"12",1,0,13,19.05,0,44
"13",1,0,14,8.22,0,44
"14",1,0.9,15,-0.75,40,44
"15",1,0.93,16,18.58,41,44
"16",1,0,17,11.58,0,44
"17",1,0,18,30.38,0,44
"18",1,1,19,-1.15,44,44
"19",1,0.9,20,-4.26,40,44
"20",1,0.03,21,12.09,1,44
"21",1,0.17,22,-4.4,7,44
"22",1,0.93,23,2.42,41,44
"23",1,0.93,24,17.14,41,44
"24",1,0,25,-10.03,0,44
"25",1,0,26,-0.06,0,44
"26",1,0.97,27,9.57,43,44
"27",1,0.27,28,4.76,12,44
"28",1,0.9,29,-2.83,40,44
"29",1,0.9,29,-2.83,40,44
"30",1,0,30,0.28,0,44
"31",1,0.77,31,1.13,34,44
"32",1,0.8,32,-3.25,35,44
"33",1,0,33,12.52,0,44
"34",1,0.3,34,3.82,13,44
"35",1,0.97,35,28.81,43,44
"36",1,0.77,36,8.82,34,44
"37",1,0,37,-12.66,0,44
"38",1,0,38,18.11,0,44
"39",1,0.97,39,7.47,43,44
"40",1,0.93,40,15.32,41,44
"41",1,0.07,41,13.7,3,44
"42",1,0.13,42,10.75,6,44
"43",1,0.93,43,-4.02,41,44
"44",1,0.9,44,12.52,40,44
"45",1,0.17,45,11.74,7,44
"46",1,0.2,46,19.77,9,44
"47",1,1,47,20.18,44,44
"48",1,0.87,48,13.78,38,44
"49",1,0.5,49,15.76,22,44
"50",1,0.03,50,2.16,1,44
"51",1,0.9,51,-14.32,40,44
"52",1,0.87,52,-1.12,38,44
"53",1,0.07,53,-2.04,3,44
"54",1,0.3,54,6.88,13,44
"55",1,0.93,55,9,41,44
"56",1,0.93,56,2.56,41,44
"57",1,0,57,3.8,0,44
"58",1,0,58,10.62,0,44
"59",1,0.73,59,-26.88,32,44
"60",1,0.9,60,-3.74,40,44
"61",1,0,61,3.55,0,44
"62",1,0,62,15.16,0,44
"63",1,0.83,63,-6.38,37,44
"64",1,0.5,64,10.02,22,44
"65",1,0.07,65,9.07,3,44
"66",1,0.07,66,10.85,3,44
"67",1,0.87,67,-3.42,38,44
"68",1,0.27,68,2.02,12,44
"69",1,0,69,-7.02,0,44
"70",1,0.03,70,2.2,1,44
"71",1,0.9,71,-25.35,40,44
"72",1,0.9,72,-3.61,40,44
"73",1,0.07,73,10.85,3,44
"74",1,0,74,2.84,0,44
"75",1,0.6,75,16.23,26,44
"76",1,0.9,76,18.54,40,44
"77",1,0.93,77,10.11,41,44
"78",1,0.83,78,-6.5,37,44
"79",1,0.97,79,11.71,43,44
"80",1,0.97,80,9.49,43,44
"81",2,0.8,7,22.93,35,44
"82",2,0.03,2,11.3,1,44
"83",2,1,12,6.44,44,44
"84",2,0,1,-1.53,0,44
"85",2,0,13,-14.92,0,44
"86",2,0.87,11,16.65,38,44
"87",2,0.97,8,-8.35,43,44
"88",2,0,17,-10.72,0,44
"89",2,0.03,9,15.85,1,44
"90",2,1,3,2.03,44,44
"91",2,0.9,15,-26.96,40,44
"92",2,0.03,10,9.43,1,44
"93",2,1,19,22.82,44,44
"94",2,0.93,16,-20.06,41,44
"95",2,0,6,11.53,0,44
"96",2,0,18,-0.13,0,44
"97",2,0.9,20,14.91,40,44
"98",2,0,5,-3.01,0,44
"99",2,0,37,8.58,0,44
"100",2,0.77,36,-4.39,34,44
"101",2,0.27,28,-6.42,12,44
"102",2,0.97,35,7.13,43,44
"103",2,0.93,24,-6.56,41,44
"104",2,0.93,40,-6.73,41,44
"105",2,0.97,39,2.93,43,44
"106",2,0,30,10.18,0,44
"107",2,0.03,21,1.1,1,44
"108",2,0.17,22,10.65,7,44
"109",2,0.93,23,3.68,41,44
"110",2,0.77,31,0.55,34,44
"111",2,0.8,32,-11.59,35,44
"112",2,0.9,29,-2.47,40,44
"113",2,0.9,29,-2.47,40,44
"114",2,0,25,9.47,0,44
"115",2,0.3,34,2.39,13,44
"116",2,0.97,27,1.29,43,44
"117",2,0.73,59,1.61,32,44
"118",2,0.17,45,12.62,7,44
"119",2,0.5,49,1.96,22,44
"120",2,0.07,53,3.56,3,44
"121",2,0.87,48,5.01,38,44
"122",2,0.3,54,11.36,13,44
"123",2,0.93,43,-4.27,41,44
"124",2,0.13,42,1.67,6,44
"125",2,0.93,56,0.37,41,44
"126",2,0,58,13.2,0,44
"127",2,0.87,52,-17.23,38,44
"128",2,0.07,41,8.67,3,44
"129",2,0.2,46,0.27,9,44
"130",2,0.9,44,17.17,40,44
"131",2,0.9,51,-6.14,40,44
"132",2,1,47,5.23,44,44
"133",2,0.03,70,-2.89,1,44
"134",2,0.07,66,-0.81,3,44
"135",2,0.97,79,-0.45,43,44
"136",2,0.83,78,12.39,37,44
"137",2,0,69,16.7,0,44
"138",2,0.5,64,1.26,22,44
"139",2,0.87,67,-14.31,38,44
"140",2,0.9,72,10.23,40,44
"141",2,0.97,80,12.08,43,44
"142",2,0.07,65,2.56,3,44
"143",2,0.27,68,-8.64,12,44
"144",2,0.9,76,-3.4,40,44
"145",2,0,61,-3.1,0,44
"146",2,0.6,75,15.43,26,44
"147",2,0.9,71,19.74,40,44
"148",3,0.97,13,-37.17,43,44
"149",3,0.07,11,17.52,3,44
"150",3,0.2,4,20.56,9,44
"151",3,0,7,-5.2,0,44
"152",3,0,16,-3.26,0,44
"153",3,0.8,10,2.49,35,44
"154",3,0.62,17,17.07,27,44
"155",3,0.93,5,27.31,41,44
"156",3,0.34,8,-1.71,15,44
"157",3,0,15,-4.88,0,44
"158",3,0.97,1,11.51,43,44
"159",3,0,19,6.41,0,44
"160",3,0.93,9,3.38,41,44
"161",3,1,6,-7.99,44,44
"162",3,0,20,4.56,0,44
"163",3,0.07,3,-2.03,3,44
"164",3,0.87,18,-14.92,38,44
"165",3,0.13,12,-2.81,6,44
"166",3,1,2,2.93,44,44
"167",3,0.9,14,9.99,40,44
"168",3,0.9,29,1.4,40,44
"169",3,0.9,29,1.4,40,44
"170",3,0.77,21,12.96,34,44
"171",3,0.8,37,-3.78,35,44
"172",3,0.97,34,17.45,43,44
"173",3,0.03,32,5.01,1,44
"174",3,0,31,-15.63,0,44
"175",3,0.53,33,-0.31,23,44
"176",3,0.4,24,3.8,18,44
"177",3,0.87,26,9.94,38,44
"178",3,0.03,23,4.64,1,44
"179",3,0,39,10.54,0,44
"180",3,0,35,-8.88,0,44
"181",3,0.53,22,20.61,23,44
"182",3,0,27,-10.04,0,44
"183",3,0.97,25,13.17,43,44
"184",3,0.93,38,-12.83,41,44
"185",3,0.67,28,-4.03,29,44
"186",3,0.07,36,-1.13,3,44
"187",3,0,40,4.86,0,44
"188",3,0.9,30,-2.66,40,44
"189",3,0.67,45,5.71,29,44
"190",3,0.73,58,4.29,32,44
"191",3,0.63,46,8.38,28,44
"192",3,0.37,42,10.82,16,44
"193",3,0.4,49,-9.28,18,44
"194",3,0.27,60,7.8,12,44
"195",3,0.4,43,-1.34,18,44
"196",3,0.37,50,12.76,16,44
"197",3,0.93,53,-2.23,41,44
"198",3,1,41,3.94,44,44
"199",3,0.03,51,7.12,1,44
"200",3,0,52,-2.57,0,44
"201",3,0,56,3.85,0,44
"202",3,0.6,55,10.18,26,44
"203",3,0.47,44,0.11,21,44
"204",3,0.07,59,-1.33,3,44
"205",3,0.69,57,5.54,30,44
"206",3,0.13,47,6.99,6,44
"207",3,0,67,12.01,0,44
"208",3,0.93,69,2.45,41,44
"209",3,0,71,9.85,0,44
"210",3,0.7,62,5.43,31,44
"211",3,0,75,0.92,0,44
"212",3,0.97,78,-11,43,44
"213",3,0.8,73,8.34,35,44
"214",3,0,79,6.72,0,44
"215",3,0.34,61,-9.7,15,44
"216",3,0.57,70,19.87,25,44
"217",3,0.77,64,-15.74,34,44
"218",3,1,77,6.86,44,44
"219",3,0,63,3.33,0,44
"220",3,0.93,74,-0.81,41,44
"221",3,0,80,5.3,0,44
"222",3,0.1,68,7.92,4,44
"223",3,0.93,65,3.7,41,44
"224",3,0,76,6.51,0,44
"225",3,0.23,66,-11.44,10,44
"226",4,0.93,5,13.72,41,44
"227",4,1,2,-0.09,44,44
"228",4,0,20,0.83,0,44
"229",4,0,16,6.77,0,44
"230",4,0.8,10,3.58,35,44
"231",4,0.9,14,10.86,40,44
"232",4,0.93,9,10.92,41,44
"233",4,0,15,5.39,0,44
"234",4,1,6,6.71,44,44
"235",4,0.87,18,-4.72,38,44
"236",4,0,19,6.67,0,44
"237",4,0.97,1,21.06,43,44
"238",4,0.13,12,3.43,6,44
"239",4,0.07,11,16.52,3,44
"240",4,0.62,17,-8.78,27,44
"241",4,0.07,3,5.96,3,44
"242",4,0.97,13,14.26,43,44
"243",4,0.2,4,25,9,44
"244",4,0.34,8,9.12,15,44
"245",4,0.4,24,25.14,18,44
"246",4,0.67,28,17.99,29,44
"247",4,0,35,14.62,0,44
"248",4,0.07,36,23.13,3,44
"249",4,0.8,37,16.07,35,44
"250",4,0.97,34,7.79,43,44
"251",4,0.03,23,-1.86,1,44
"252",4,0.77,21,12.59,34,44
"253",4,0.87,26,2.17,38,44
"254",4,0,27,5.47,0,44
"255",4,0.93,38,16.26,41,44
"256",4,0.9,30,12.05,40,44
"257",4,0,40,14.16,0,44
"258",4,0,31,-3.19,0,44
"259",4,0.53,22,24.01,23,44
"260",4,0.9,29,6.33,40,44
"261",4,0.9,29,6.33,40,44
"262",4,0.53,33,9.67,23,44
"263",4,0,39,-5.17,0,44
"264",4,0.03,32,-6.63,1,44
"265",4,0.97,25,14.18,43,44
"266",4,0.69,57,-1.68,30,44
"267",4,0.07,59,-4.74,3,44
"268",4,0,52,15.8,0,44
"269",4,0.73,58,27.51,32,44
"270",4,0.37,42,18.17,16,44
"271",4,0.93,53,-8.37,41,44
"272",4,0.47,44,2.65,21,44
"273",4,0,56,-3.57,0,44
"274",4,0.77,54,2.75,34,44
"275",4,0.27,60,-8.25,12,44
"276",4,0.4,49,-5.82,18,44
"277",4,0.4,43,-10.43,18,44
"278",4,0.03,51,15.22,1,44
"279",4,0.67,45,9.43,29,44
"280",4,0.63,46,22.42,28,44
"281",4,0.37,50,8.57,16,44
"282",4,0.13,47,2.64,6,44
"283",4,0.6,55,-14.83,26,44
"284",4,1,41,10.93,44,44
"285",4,0,48,-8.96,0,44
"286",4,0.77,64,20.21,34,44
"287",4,0.1,68,-6,4,44
"288",4,1,77,13.88,44,44
"289",4,0,67,11.99,0,44
"290",4,0.23,66,18.51,10,44
"291",4,0,63,-1.33,0,44
"292",4,0.97,78,0.3,43,44
"293",4,0,80,3.18,0,44
"294",4,0,76,13.44,0,44
"295",4,0,72,9.43,0,44
"296",4,0.34,61,19.35,15,44
"297",4,0.93,65,-3.27,41,44
"298",4,0,71,13.58,0,44
"299",4,0.93,74,10.14,41,44
"300",4,0,75,8.69,0,44
"301",4,0.57,70,16.91,25,44
"302",4,0,79,9.41,0,44
"303",4,0.8,73,0.18,35,44
"304",4,0.7,62,7.47,31,44
"305",4,0.93,69,19.3,41,44
"306",5,0,6,4.81,0,44
"307",5,1,12,10.75,44,44
"308",5,0,1,6.58,0,44
"309",5,1,3,7,44,44
"310",5,0.9,15,-4.76,40,44
"311",5,0,14,-1.37,0,44
"312",5,0.87,11,-7.84,38,44
"313",5,0.93,16,25.51,41,44
"314",5,0,5,7.78,0,44
"315",5,0.93,4,-6.62,41,44
"316",5,0.8,7,-3.21,35,44
"317",5,0.03,2,-3.56,1,44
"318",5,0,18,-24.3,0,44
"319",5,0,13,1.09,0,44
"320",5,1,19,-5.62,44,44
"321",5,0.03,10,-3.88,1,44
"322",5,0.03,9,14.05,1,44
"323",5,0,17,-9.14,0,44
"324",5,0.97,8,5.1,43,44
"325",5,0.03,21,-5.87,1,44
"326",5,0.27,28,6.8,12,44
"327",5,0.97,35,4.18,43,44
"328",5,0,33,1.66,0,44
"329",5,0.93,23,-4.73,41,44
"330",5,0,25,2.88,0,44
"331",5,0.77,36,-5.81,34,44
"332",5,0,38,8.06,0,44
"333",5,0.93,40,13.04,41,44
"334",5,0.93,24,-3.04,41,44
"335",5,0.3,34,8.37,13,44
"336",5,0,26,6.92,0,44
"337",5,0.17,22,5.03,7,44
"338",5,0.8,32,11.18,35,44
"339",5,0.97,27,4.49,43,44
"340",5,0.97,39,4.52,43,44
"341",5,0,30,3.11,0,44
"342",5,0,37,3.32,0,44
"343",5,0.77,31,-7.18,34,44
"344",5,0.87,52,-4.69,38,44
"345",5,0.5,49,7.94,22,44
"346",5,0,58,12.91,0,44
"347",5,0,57,1.56,0,44
"348",5,0.73,59,-4.77,32,44
"349",5,0.03,50,-4.21,1,44
"350",5,0.9,51,3.42,40,44
"351",5,0.07,53,-15.63,3,44
"352",5,1,47,-8.49,44,44
"353",5,0.07,41,-1.69,3,44
"354",5,0.93,56,10.16,41,44
"355",5,0.2,46,-12.21,9,44
"356",5,0.17,45,7.53,7,44
"357",5,0.9,60,1.97,40,44
"358",5,0.3,54,13.15,13,44
"359",5,0.13,42,10.39,6,44
"360",5,0.93,43,-23.84,41,44
"361",5,0.87,48,3.04,38,44
"362",5,0.93,55,-0.12,41,44
"363",5,0.9,44,3.27,40,44
"364",5,0.27,68,-3.39,12,44
"365",5,0.03,70,6.7,1,44
"366",5,0.07,73,8.52,3,44
"367",5,0.83,78,-4.67,37,44
"368",5,0,69,5.94,0,44
"369",5,0.07,66,-4.3,3,44
"370",5,0.9,76,-3.35,40,44
"371",5,0.9,72,-10.87,40,44
"372",5,0.97,79,2.83,43,44
"373",5,0.93,77,1.35,41,44
"374",5,0.87,67,2.16,38,44
"375",5,0.83,63,2.01,37,44
"376",5,0.6,75,18.97,26,44
"377",5,0,62,7.68,0,44
"378",5,0,61,-2.63,0,44
"379",5,0.97,80,-2.82,43,44
"380",5,0.5,64,17.04,22,44
"381",5,0,74,1.74,0,44
"382",5,0.9,71,-5.96,40,44
"383",5,0.07,65,-3.54,3,44
"384",6,0,5,-26.54,0,44
"385",6,0,1,-14.81,0,44
"386",6,0.97,8,-17.41,43,44
"387",6,0,14,13.18,0,44
"388",6,0.8,7,-4.55,35,44
"389",6,0,17,2.97,0,44
"390",6,0.9,20,-2.73,40,44
"391",6,0.93,4,-0.74,41,44
"392",6,0,6,-1.34,0,44
"393",6,0.93,16,-4.03,41,44
"394",6,0.9,15,-6.14,40,44
"395",6,0.87,11,-2.02,38,44
"396",6,1,19,-0.03,44,44
"397",6,0.03,10,19.4,1,44
"398",6,1,3,-0.66,44,44
"399",6,0,18,7.43,0,44
"400",6,0,13,10.88,0,44
"401",6,0.03,2,-1.05,1,44
"402",6,0,26,0.36,0,44
"403",6,0,25,-13.06,0,44
"404",6,0.97,39,6.31,43,44
"405",6,0,37,0.66,0,44
"406",6,0.97,27,2.27,43,44
"407",6,0.93,40,11.08,41,44
"408",6,0,33,9.54,0,44
"409",6,0.93,23,-8.37,41,44
"410",6,0.8,32,-6.97,35,44
"411",6,0.03,21,-8.77,1,44
"412",6,0.77,36,5.34,34,44
"413",6,0,38,-31.61,0,44
"414",6,0,30,8.28,0,44
"415",6,0.97,35,-16.65,43,44
"416",6,0.27,28,-17.43,12,44
"417",6,0.17,22,12.77,7,44
"418",6,0.9,29,20.27,40,44
"419",6,0.9,29,20.27,40,44
"420",6,0.3,34,-7.09,13,44
"421",6,0.93,24,-1.38,41,44
"422",6,0.5,49,11.14,22,44
"423",6,0.73,59,16.73,32,44
"424",6,0.2,46,0.65,9,44
"425",6,0.87,48,6.96,38,44
"426",6,0.9,60,13.63,40,44
"427",6,0.9,51,24.06,40,44
"428",6,0.87,52,9.58,38,44
"429",6,0,58,-3.19,0,44
"430",6,0.9,44,22.57,40,44
"431",6,0.13,42,14.84,6,44
"432",6,0.93,55,7.9,41,44
"433",6,0.93,43,23.42,41,44
"434",6,0,57,-18.89,0,44
"435",6,0.07,53,-15.96,3,44
"436",6,0.07,41,10.23,3,44
"437",6,1,47,-8.54,44,44
"438",6,0.03,50,2.82,1,44
"439",6,0.3,54,25.15,13,44
"440",6,0.93,56,-0.37,41,44
"441",6,0.27,68,-19.36,12,44
"442",6,0.93,77,-13.2,41,44
"443",6,0.07,73,-8.23,3,44
"444",6,0.5,64,3.7,22,44
"445",6,0,62,-28.6,0,44
"446",6,0,61,-9.55,0,44
"447",6,0,69,-21.42,0,44
"448",6,0.9,71,-4.93,40,44
"449",6,0.07,66,-24.74,3,44
"450",6,0.03,70,8.34,1,44
"451",6,0.97,79,-4.7,43,44
"452",6,0.97,80,41.15,43,44
"453",6,0,74,-17.9,0,44
"454",6,0.9,76,10.2,40,44
"455",6,0.83,63,-2.39,37,44
"456",6,0.9,72,16.68,40,44
"457",6,0.07,65,6.26,3,44
"458",6,0.83,78,-7.31,37,44
"459",7,0,7,7.02,0,44
"460",7,0.34,8,-8.32,15,44
"461",7,0.2,4,-7.86,9,44
"462",7,0.8,10,-17.86,35,44
"463",7,0.9,14,12.31,40,44
"464",7,0.07,11,22.55,3,44
"465",7,0,19,2.29,0,44
"466",7,0.13,12,8.6,6,44
"467",7,1,6,11.89,44,44
"468",7,0,15,-5.25,0,44
"469",7,0.97,1,-0.59,43,44
"470",7,0.87,18,-0.16,38,44
"471",7,0.62,17,-12.31,27,44
"472",7,0.93,9,-1.61,41,44
"473",7,0,20,-5.69,0,44
"474",7,0.97,13,0.15,43,44
"475",7,1,2,-24.03,44,44
"476",7,0,16,-7.92,0,44
"477",7,0.07,3,-0.54,3,44
"478",7,0.93,5,26.25,41,44
"479",7,0.67,28,-8.86,29,44
"480",7,0,40,7.32,0,44
"481",7,0.9,29,11.31,40,44
"482",7,0.9,29,11.31,40,44
"483",7,0.9,30,0.37,40,44
"484",7,0.53,22,-0.28,23,44
"485",7,0,39,2.18,0,44
"486",7,0,35,0.14,0,44
"487",7,0.77,21,-18.97,34,44
"488",7,0.07,36,0.08,3,44
"489",7,0.03,32,12.61,1,44
"490",7,0,31,-0.12,0,44
"491",7,0.8,37,5.51,35,44
"492",7,0.03,23,9.39,1,44
"493",7,0.4,24,3.76,18,44
"494",7,0.87,26,-2.57,38,44
"495",7,0.97,34,2.38,43,44
"496",7,0.97,25,26.72,43,44
"497",7,0.93,38,7.01,41,44
"498",7,0,27,-9.24,0,44
"499",7,0.53,33,18.02,23,44
"500",7,1,41,7.27,44,44
"501",7,0.67,45,8.62,29,44
"502",7,0.63,46,11.03,28,44
"503",7,0.27,60,12.39,12,44
"504",7,0,56,15.45,0,44
"505",7,0.4,43,-2.05,18,44
"506",7,0.93,53,-0.14,41,44
"507",7,0.73,58,6.04,32,44
"508",7,0.13,47,-14.88,6,44
"509",7,0.37,42,12.85,16,44
"510",7,0.03,51,18.21,1,44
"511",7,0,48,-5.31,0,44
"512",7,0.37,50,11.26,16,44
"513",7,0.4,49,-11.92,18,44
"514",7,0.6,55,-9.15,26,44
"515",7,0.69,57,-2.56,30,44
"516",7,0.07,59,-3.7,3,44
"517",7,0.47,44,-29.17,21,44
"518",7,0.77,54,4.99,34,44
"519",7,0,76,-1.05,0,44
"520",7,0.57,70,7.65,25,44
"521",7,0.8,73,-17.77,35,44
"522",7,0,71,-4.35,0,44
"523",7,0.23,66,0.8,10,44
"524",7,0,75,-3.69,0,44
"525",7,0,63,-5.74,0,44
"526",7,0.1,68,-16.49,4,44
"527",7,0.97,78,4.42,43,44
"528",7,0,67,8.7,0,44
"529",7,0.93,65,-10.13,41,44
"530",7,0.93,69,9.67,41,44
"531",7,0,72,7.45,0,44
"532",7,1,77,0.83,44,44
"533",7,0.93,74,-5.61,41,44
"534",7,0.77,64,-13.81,34,44
"535",7,0,80,17.81,0,44
"536",7,0,79,33.23,0,44
"537",7,0.7,62,7.14,31,44
"538",7,0.34,61,-16.21,15,44
"539",8,0,20,24.27,0,44
"540",8,0.07,11,-5.17,3,44
"541",8,0.8,10,-1.44,35,44
"542",8,0.62,17,10.77,27,44
"543",8,0.13,12,11.63,6,44
"544",8,0,16,6.2,0,44
"545",8,0.9,14,21.96,40,44
"546",8,1,2,7.52,44,44
"547",8,1,6,-4.8,44,44
"548",8,0.07,3,9.48,3,44
"549",8,0.93,5,2.35,41,44
"550",8,0,7,-22.26,0,44
"551",8,0.87,18,10.35,38,44
"552",8,0.2,4,15.86,9,44
"553",8,0.34,8,0.88,15,44
"554",8,0.97,13,18.58,43,44
"555",8,0.97,1,4.25,43,44
"556",8,0.93,9,-17.77,41,44
"557",8,0.03,32,-5.05,1,44
"558",8,0.53,33,2.03,23,44
"559",8,0.97,25,26.26,43,44
"560",8,0.53,22,2.58,23,44
"561",8,0.87,26,27.04,38,44
"562",8,0.07,36,-9.47,3,44
"563",8,0,39,-4.54,0,44
"564",8,0.9,30,-15.38,40,44
"565",8,0.93,38,28.01,41,44
"566",8,0.03,23,-0.58,1,44
"567",8,0,27,-17.5,0,44
"568",8,0.77,21,18.48,34,44
"569",8,0.9,29,-12.19,40,44
"570",8,0.9,29,-12.19,40,44
"571",8,0.8,37,-1.52,35,44
"572",8,0.67,28,6.95,29,44
"573",8,0,35,5.37,0,44
"574",8,0.4,24,11.26,18,44
"575",8,0.97,34,25.72,43,44
"576",8,0,31,18.71,0,44
"577",8,0,40,26.95,0,44
"578",8,0.07,59,8.24,3,44
"579",8,0.93,53,12.96,41,44
"580",8,0.4,49,5.98,18,44
"581",8,0.37,50,17.83,16,44
"582",8,0,52,-12.45,0,44
"583",8,0,56,10.9,0,44
"584",8,0.69,57,14.61,30,44
"585",8,0,48,-13.47,0,44
"586",8,0.13,47,11.87,6,44
"587",8,0.73,58,6.17,32,44
"588",8,0.77,54,-6.18,34,44
"589",8,0.47,44,33,21,44
"590",8,0.63,46,15.03,28,44
"591",8,0.4,43,-10.5,18,44
"592",8,0.03,51,4.59,1,44
"593",8,1,41,-3.13,44,44
"594",8,0.37,42,16.09,16,44
"595",8,0.6,55,9.93,26,44
"596",8,0.67,45,13.79,29,44
"597",8,0,79,-5.32,0,44
"598",8,0.93,74,5.92,41,44
"599",8,0.1,68,6.29,4,44
"600",8,0.93,65,15.27,41,44
"601",8,0,75,12.65,0,44
"602",8,1,77,6.18,44,44
"603",8,0,71,-12.94,0,44
"604",8,0,76,-19.19,0,44
